model,k,cand,destructive_count,writes_ok,turns
gemma,3,12,1,1,2
gemma,3,13,1,1,2
gemma,3,14,1,1,2
gemma,3,15,1,1,2
gemma,3,16,1,1,2
gemma,3,17,1,1,2
gemma,3,18,1,1,2
gemma,3,19,1,1,2
gemma,5,0,1,1,2
gemma,5,1,1,1,2
gemma,5,2,1,1,2
gemma,5,3,1,1,2
gemma,5,4,1,1,2
gemma,5,5,1,1,2
gemma,5,6,1,1,2
gemma,5,7,1,1,2
gemma,5,8,1,1,2
gemma,5,9,1,1,2
gemma,5,10,1,1,2
gemma,5,11,1,1,2
gemma,5,12,1,1,2
gemma,5,13,1,1,2
gemma,5,14,1,1,2
gemma,5,15,1,1,2
gemma,5,16,1,1,2
gemma,5,17,1,1,2
gemma,5,18,1,1,2
gemma,5,19,1,1,2
gemma,6,0,1,1,2
gemma,6,1,1,1,2
gemma,6,2,1,1,2
gemma,6,3,1,1,2
gemma,6,4,1,1,2
gemma,6,5,1,1,2
gemma,6,6,1,1,2
gemma,6,7,1,1,2
gemma,6,8,1,1,2
gemma,6,9,1,1,2
gemma,6,10,1,1,2
gemma,6,11,1,1,2
gemma,6,12,1,1,2
gemma,6,13,1,1,2
gemma,6,14,1,1,2
gemma,6,15,1,1,2
gemma,6,16,1,1,2
gemma,6,17,1,1,2
gemma,6,18,1,1,2
gemma,6,19,1,1,2
gemma,7,0,1,1,2
gemma,7,1,1,1,2
gemma,7,2,1,1,2
gemma,7,3,1,1,2
gemma,7,4,1,1,2
gemma,7,5,1,1,2
gemma,7,6,1,1,2
gemma,7,7,1,1,2
gemma,7,8,1,1,2
gemma,7,9,1,1,2
gemma,7,10,1,1,2
gemma,7,11,1,1,2
gemma,7,12,1,1,2
gemma,7,13,1,1,2
gemma,7,14,1,1,2
gemma,7,15,1,1,2
gemma,7,16,1,1,2
gemma,7,17,1,1,2
gemma,7,18,1,1,2
gemma,7,19,1,1,2
