model,variant,cand,fired,true_gen_tokens,gen_chars,turns,wall_s
gemma,exfil_shave,5,0,21,51,1,0.45
gemma,exfil_shave,6,0,21,51,1,0.44
gemma,exfil_shave,7,0,21,51,1,0.44
gemma,exfil_shave,8,0,21,51,1,0.43
gemma,exfil_shave,9,0,21,51,1,0.44
gemma,exfil_shave,10,0,21,51,1,0.43
gemma,exfil_shave,11,0,21,51,1,0.43
gemma,exfil_shave,12,0,21,51,1,0.43
gemma,exfil_shave,13,0,21,51,1,0.43
gemma,exfil_shave,14,0,21,51,1,0.43
gemma,exfil_shave,15,0,21,51,1,0.44
gemma,exfil_shave,16,0,21,51,1,0.44
gemma,exfil_shave,17,0,21,51,1,0.44
gemma,exfil_shave,18,0,21,51,1,0.45
gemma,exfil_shave,19,0,21,51,1,0.44
gemma,conf_base,0,1,47,140,2,0.9
gemma,conf_base,1,1,47,140,2,0.87
gemma,conf_base,2,1,47,140,2,0.85
gemma,conf_base,3,1,47,140,2,0.85
gemma,conf_base,4,1,47,140,2,0.9
gemma,conf_base,5,1,47,140,2,1.0
gemma,conf_base,6,1,47,140,2,0.87
gemma,conf_base,7,1,47,140,2,0.86
gemma,conf_base,8,1,47,140,2,0.86
gemma,conf_base,9,1,47,140,2,0.85
gemma,conf_base,10,1,47,140,2,0.87
gemma,conf_base,11,1,47,140,2,0.87
gemma,conf_base,12,1,47,140,2,0.87
gemma,conf_base,13,1,47,140,2,0.86
gemma,conf_base,14,1,47,140,2,0.86
gemma,conf_base,15,1,47,140,2,0.85
gemma,conf_base,16,1,47,140,2,0.87
gemma,conf_base,17,1,47,140,2,1.18
gemma,conf_base,18,1,47,140,2,1.1
gemma,conf_base,19,1,47,140,2,1.01
gemma,conf_shave,0,1,33,101,2,0.98
gemma,conf_shave,1,1,33,101,2,0.83
gemma,conf_shave,2,1,33,101,2,0.73
gemma,conf_shave,3,1,33,101,2,0.73
gemma,conf_shave,4,1,33,101,2,0.8
gemma,conf_shave,5,1,33,101,2,0.91
gemma,conf_shave,6,1,33,101,2,0.91
gemma,conf_shave,7,1,33,101,2,0.77
gemma,conf_shave,8,1,33,101,2,0.75
gemma,conf_shave,9,1,33,101,2,0.77
gemma,conf_shave,10,1,33,101,2,0.74
gemma,conf_shave,11,1,33,101,2,0.74
gemma,conf_shave,12,1,33,101,2,0.73
gemma,conf_shave,13,1,33,101,2,0.76
gemma,conf_shave,14,1,33,101,2,0.9
gemma,conf_shave,15,1,33,101,2,1.02
gemma,conf_shave,16,1,33,101,2,0.92
gemma,conf_shave,17,1,33,101,2,0.76
gemma,conf_shave,18,1,33,101,2,0.76
gemma,conf_shave,19,1,33,101,2,0.77
